iter	Passed	Remaining
640	1988	13519
641	1990	13515
642	1993	13510
643	1996	13506
644	1999	13502
645	2002	13498
646	2005	13493
647	2008	13489
648	2011	13485
649	2014	13482
650	2017	13478
651	2020	13474
652	2023	13471
653	2026	13467
654	2029	13463
655	2032	13459
656	2035	13456
657	2038	13453
658	2041	13449
659	2044	13445
660	2047	13441
661	2050	13438
662	2053	13434
663	2056	13431
664	2059	13427
665	2063	13425
666	2066	13422
667	2069	13420
668	2072	13418
669	2075	13414
670	2079	13413
671	2082	13410
672	2085	13407
673	2088	13405
674	2091	13404
675	2095	13401
676	2098	13399
677	2101	13395
678	2104	13393
679	2108	13392
680	2111	13389
681	2114	13385
682	2117	13382
683	2120	13380
684	2123	13378
685	2127	13376
686	2130	13373
687	2133	13369
688	2136	13367
689	2139	13366
690	2142	13363
691	2146	13360
692	2149	13358
693	2152	13355
694	2155	13352
695	2158	13349
696	2161	13345
697	2164	13343
698	2167	13339
699	2170	13335
700	2173	13330
701	2176	13326
702	2179	13321
703	2182	13318
704	2185	13314
705	2188	13310
706	2191	13306
707	2194	13303
708	2197	13298
709	2200	13294
710	2203	13289
711	2206	13285
712	2209	13282
713	2212	13278
714	2215	13274
715	2218	13270
716	2220	13266
717	2224	13263
718	2227	13260
719	2230	13256
720	2232	13252
721	2235	13248
722	2238	13244
723	2241	13240
724	2244	13237
725	2247	13233
726	2250	13228
727	2253	13225
728	2256	13221
729	2259	13217
730	2262	13213
731	2265	13209
732	2268	13205
733	2271	13201
734	2274	13198
735	2277	13195
736	2280	13191
737	2283	13187
738	2286	13184
739	2289	13180
740	2292	13176
741	2295	13172
742	2298	13169
743	2301	13165
744	2304	13161
745	2307	13157
746	2310	13154
747	2313	13150
748	2316	13146
749	2319	13142
750	2322	13139
751	2325	13135
752	2328	13131
753	2331	13128
754	2334	13124
755	2337	13120
756	2340	13116
757	2343	13112
758	2345	13108
759	2348	13104
760	2351	13101
761	2355	13097
762	2357	13093
763	2360	13089
764	2363	13085
765	2366	13081
766	2369	13078
767	2372	13073
768	2375	13070
769	2378	13066
770	2381	13062
771	2384	13058
772	2387	13054
773	2390	13051
774	2393	13047
775	2396	13044
776	2399	13040
777	2402	13036
778	2405	13032
779	2408	13028
780	2410	13024
781	2414	13020
782	2417	13017
783	2420	13013
784	2423	13010
785	2426	13006
786	2428	13002
787	2431	12998
788	2434	12995
789	2437	12991
790	2440	12988
791	2443	12983
792	2446	12979
793	2449	12975
794	2452	12972
795	2455	12968
796	2458	12964
797	2461	12960
798	2464	12956
799	2467	12952
800	2470	12948
801	2473	12944
802	2476	12941
803	2479	12937
804	2481	12933
805	2484	12930
806	2487	12926
807	2490	12922
808	2493	12919
809	2496	12915
810	2499	12911
811	2502	12907
812	2505	12904
813	2508	12900
814	2511	12897
815	2514	12893
816	2517	12890
817	2520	12886
818	2523	12883
819	2526	12879
820	2529	12875
821	2532	12872
822	2535	12869
823	2538	12866
824	2541	12863
825	2546	12867
826	2550	12870
827	2554	12869
828	2557	12866
829	2560	12863
830	2563	12859
831	2566	12856
832	2569	12854
833	2572	12851
834	2575	12847
835	2578	12843
836	2581	12840
837	2584	12836
838	2587	12832
839	2590	12829
840	2593	12825
841	2596	12821
842	2599	12817
843	2602	12814
844	2605	12811
845	2608	12807
846	2611	12803
847	2614	12799
848	2617	12796
849	2620	12792
850	2623	12788
851	2625	12784
852	2628	12780
853	2631	12776
854	2634	12772
855	2637	12769
856	2640	12765
857	2643	12761
858	2646	12757
859	2649	12754
860	2652	12749
861	2655	12746
862	2658	12742
863	2661	12739
864	2664	12735
865	2667	12731
866	2670	12728
867	2673	12724
868	2676	12721
869	2679	12717
870	2682	12715
871	2685	12712
872	2688	12708
873	2691	12704
874	2694	12700
875	2697	12697
876	2699	12693
877	2702	12689
878	2705	12686
879	2708	12682
880	2711	12679
881	2714	12675
882	2717	12672
883	2720	12668
