iter	Passed	Remaining
621	1923	13539
622	1926	13534
623	1929	13530
624	1932	13527
625	1935	13524
626	1938	13521
627	1941	13517
628	1944	13513
629	1947	13509
630	1950	13504
631	1953	13502
632	1956	13498
633	1960	13497
634	1963	13494
635	1966	13490
636	1969	13486
637	1972	13482
638	1975	13479
639	1978	13475
640	1981	13471
641	1984	13468
642	1987	13464
643	1990	13460
644	1993	13457
645	1996	13453
646	1999	13449
647	2002	13445
648	2005	13442
649	2008	13438
650	2010	13434
651	2013	13430
652	2016	13426
653	2019	13422
654	2022	13417
655	2025	13413
656	2028	13409
657	2031	13406
658	2034	13402
659	2037	13399
660	2040	13395
661	2045	13405
662	2048	13402
663	2051	13398
664	2055	13396
665	2058	13393
666	2061	13389
667	2064	13385
668	2067	13383
669	2070	13378
670	2073	13375
671	2076	13371
672	2079	13367
673	2081	13362
674	2085	13359
675	2088	13357
676	2091	13354
677	2094	13350
678	2097	13346
679	2100	13342
680	2103	13338
681	2106	13334
682	2109	13331
683	2112	13327
684	2115	13324
685	2118	13319
686	2120	13315
687	2123	13311
688	2126	13308
689	2130	13305
690	2133	13301
691	2135	13297
692	2139	13295
693	2142	13291
694	2145	13287
695	2149	13291
696	2152	13289
697	2156	13288
698	2159	13287
699	2162	13283
700	2165	13281
701	2169	13280
702	2172	13276
703	2175	13273
704	2178	13270
705	2181	13268
706	2184	13267
707	2187	13263
708	2190	13259
709	2193	13255
710	2196	13251
711	2200	13249
712	2203	13247
713	2206	13244
714	2209	13242
715	2212	13239
716	2217	13244
717	2220	13241
718	2223	13237
719	2226	13234
720	2229	13231
721	2232	13228
722	2235	13224
723	2238	13222
724	2243	13231
725	2247	13229
726	2250	13226
727	2253	13222
728	2256	13219
729	2259	13216
730	2262	13212
731	2265	13208
732	2268	13204
733	2271	13201
734	2274	13196
735	2277	13192
736	2279	13188
737	2282	13183
738	2285	13179
739	2288	13175
740	2291	13171
741	2294	13166
742	2297	13162
743	2300	13158
744	2303	13154
745	2306	13150
746	2309	13146
747	2312	13142
748	2314	13138
749	2317	13133
750	2320	13129
751	2323	13124
752	2326	13120
753	2329	13116
754	2332	13112
755	2335	13108
756	2338	13104
757	2340	13100
758	2345	13104
759	2348	13100
760	2351	13096
761	2354	13093
762	2357	13089
763	2361	13096
764	2365	13093
765	2368	13089
766	2371	13086
767	2374	13081
768	2376	13078
769	2379	13073
770	2382	13069
771	2385	13065
772	2388	13060
773	2391	13057
774	2394	13053
775	2397	13050
776	2400	13046
777	2403	13042
778	2406	13038
779	2409	13034
780	2412	13030
781	2415	13026
782	2417	13021
783	2420	13017
784	2423	13013
785	2426	13009
786	2429	13004
787	2432	13000
788	2435	12996
789	2438	12992
790	2442	12997
791	2445	12995
792	2448	12991
793	2451	12987
794	2454	12982
795	2457	12979
796	2460	12974
797	2463	12970
798	2466	12966
799	2468	12961
800	2471	12957
801	2474	12953
802	2478	12955
803	2481	12952
804	2485	12950
805	2488	12948
806	2491	12943
807	2494	12940
808	2497	12936
809	2500	12933
810	2503	12929
811	2506	12926
812	2509	12922
813	2512	12918
814	2515	12914
815	2517	12910
816	2520	12905
817	2523	12901
818	2526	12897
819	2529	12893
820	2532	12889
821	2535	12885
822	2538	12881
823	2540	12877
824	2543	12873
825	2546	12869
826	2549	12865
827	2552	12861
828	2555	12858
829	2558	12854
830	2561	12850
831	2564	12846
832	2567	12842
833	2570	12839
834	2573	12835
835	2576	12832
836	2579	12828
837	2582	12824
838	2585	12820
839	2588	12816
840	2590	12813
841	2593	12808
842	2596	12804
843	2599	12801
844	2602	12797
845	2605	12793
846	2608	12789
847	2611	12785
